#Machine :  localhost.localdomain .
#Date début : 20141104_010817.
#Limite de 60 secondes par test.
Taille des fichiers source :
   51   165  1165 date.cpp
   79   339  2564 succ.cpp
  445  1360 12455 test_arbreavl.cpp
  118   330  2807 test_arbremap.cpp
   41   195  1569 testdate.cpp
   83   238  2383 tp2.cpp
  556  1600 14518 arbreavl.h
   94   233  2036 arbremap.h
   30    74   603 date.h
  141   376  2931 pile.h
   53   149  1263 succ.h
 1691  5059 44294 total
#
Test    	Taille	Opt?	CPU	Mém.(k)
testC-00.txt	15	OK	0.00	2608k
testC+00.txt	15	OK	0.00	2624k
testC-01.txt	126	OK	0.00	2720k
testC+01.txt	110	Echec	0.00	2620k
testC-02.txt	1026	OK	0.00	2748k
testC+02.txt	1026	Echec	0.00	2656k
testC+03.txt	2026	Echec	0.00	2692k
testD-00.txt	15	Echec	0.00	2644k
testD+00.txt	15	Echec	0.00	2680k
testD-01.txt	110	Echec	0.00	2620k
testD+01.txt	110	Echec	0.00	2612k
testD-02.txt	1026	Echec	0.00	2732k
testD+02.txt	1026	Echec	0.00	2708k
testD+03.txt	1100	Echec	0.00	2656k
testD+04.txt	3000	Echec	0.00	2800k
